Title,Year,Time,Genere,Rating,Rating_Count,Movi_Link
Das Boot ,1981,2h 29min,Adventure,8.3,"226,702",https://www.imdb.com/title/tt0082096/
Amadeus ,1984,2h 40min,Biography,8.3,"361,391",https://www.imdb.com/title/tt0086879/
High and Low ,1963,2h 23min,Crime,8.4,"31,382",https://www.imdb.com/title/tt0057565/
Toy Story ,1995,1h 21min,Animation,8.3,"865,448",https://www.imdb.com/title/tt0114709/
Braveheart ,1995,2h 58min,Biography,8.3,"942,405",https://www.imdb.com/title/tt0112573/
American Beauty ,1999,2h 2min,Drama,8.3,"1,050,002",https://www.imdb.com/title/tt0169547/
Coco ,2017,1h 45min,Animation,8.4,"353,507",https://www.imdb.com/title/tt2380307/
Once Upon a Time in America ,1984,3h 49min,Crime,8.4,"302,736",https://www.imdb.com/title/tt0087843/
Your Name. ,2016,1h 46min,Animation,8.4,"179,171",https://www.imdb.com/title/tt5311514/
Aliens ,1986,2h 17min,Action,8.3,"640,109",https://www.imdb.com/title/tt0090605/
Oldboy ,2003,2h,Action,8.4,"501,714",https://www.imdb.com/title/tt0364569/
The Dark Knight Rises ,2012,2h 44min,Action,8.4,"1,482,480",https://www.imdb.com/title/tt1345836/
Avengers: Endgame ,2019,3h 1min,Action,8.4,"757,945",https://www.imdb.com/title/tt4154796/
Witness for the Prosecution ,1957,1h 56min,Crime,8.4,"104,782",https://www.imdb.com/title/tt0051201/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,1h 35min,Comedy,8.4,"441,548",https://www.imdb.com/title/tt0057012/
Sunset Blvd. ,1950,1h 50min,Drama,8.4,"196,106",https://www.imdb.com/title/tt0043014/
Spider-Man: Into the Spider-Verse ,2018,1h 57min,Animation,8.4,"337,120",https://www.imdb.com/title/tt4633694/
WALL·E ,2008,1h 38min,Animation,8.4,"975,729",https://www.imdb.com/title/tt0910970/
The Shining ,1980,2h 26min,Drama,8.4,"870,738",https://www.imdb.com/title/tt0081505/
Paths of Glory ,1957,1h 28min,Drama,8.4,"172,942",https://www.imdb.com/title/tt0050825/
The Departed ,2006,2h 31min,Crime,8.5,"1,160,981",https://www.imdb.com/title/tt0407887/
Gladiator ,2000,2h 35min,Action,8.5,"1,309,660",https://www.imdb.com/title/tt0172495/
Princess Mononoke ,1997,2h 14min,Animation,8.4,"331,593",https://www.imdb.com/title/tt0119698/
City Lights ,1931,1h 27min,Comedy,8.5,"162,961",https://www.imdb.com/title/tt0021749/
Avengers: Infinity War ,2018,2h 29min,Action,8.4,"798,268",https://www.imdb.com/title/tt4154756/
The Lives of Others ,2006,2h 17min,Drama,8.4,"350,021",https://www.imdb.com/title/tt0405094/
Psycho ,1960,1h 49min,Horror,8.5,"587,647",https://www.imdb.com/title/tt0054215/
Modern Times ,1936,1h 27min,Comedy,8.5,"211,556",https://www.imdb.com/title/tt0027977/
Harakiri ,1962,2h 13min,Action,8.7,"37,514",https://www.imdb.com/title/tt0056058/
Back to the Future ,1985,1h 56min,Adventure,8.5,"1,028,744",https://www.imdb.com/title/tt0088763/
American History X ,1998,1h 59min,Drama,8.5,"1,015,067",https://www.imdb.com/title/tt0120586/
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,"975,975",https://www.imdb.com/title/tt0103064/
The Usual Suspects ,1995,1h 46min,Crime,8.5,"969,961",https://www.imdb.com/title/tt0114814/
The Lion King ,1994,1h 28min,Animation,8.5,"918,351",https://www.imdb.com/title/tt0110357/
Hamilton ,2020,2h 40min,Biography,8.7,"38,790",https://www.imdb.com/title/tt8503618/
Léon: The Professional ,1994,1h 50min,Action,8.5,"1,008,831",https://www.imdb.com/title/tt0110413/
The Pianist ,2002,2h 30min,Biography,8.5,"708,764",https://www.imdb.com/title/tt0253474/
Interstellar ,2014,2h 49min,Adventure,8.6,"1,452,919",https://www.imdb.com/title/tt0816692/
Spirited Away ,2001,2h 5min,Animation,8.6,"627,836",https://www.imdb.com/title/tt0245429/
Parasite ,2019,2h 12min,Comedy,8.6,"474,802",https://www.imdb.com/title/tt6751668/
The Green Mile ,1999,3h 9min,Crime,8.6,"1,114,074",https://www.imdb.com/title/tt0120689/
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,"388,731",https://www.imdb.com/title/tt0038650/
Star Wars: Episode IV - A New Hope ,1977,2h 1min,Action,8.6,"1,205,264",https://www.imdb.com/title/tt0076759/
Se7en ,1995,2h 7min,Crime,8.6,"1,403,897",https://www.imdb.com/title/tt0114369/
Life Is Beautiful ,1997,1h 56min,Comedy,8.6,"606,476",https://www.imdb.com/title/tt0118799/
City of God ,2002,2h 10min,Crime,8.6,"686,419",https://www.imdb.com/title/tt0317248/
Seven Samurai ,1954,3h 27min,Action,8.6,"308,328",https://www.imdb.com/title/tt0047478/
Saving Private Ryan ,1998,2h 49min,Drama,8.6,"1,205,344",https://www.imdb.com/title/tt0120815/
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,"892,004",https://www.imdb.com/title/tt0073486/
Goodfellas ,1990,2h 26min,Biography,8.7,"992,706",https://www.imdb.com/title/tt0099685/
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,"1,235,801",https://www.imdb.com/title/tt0102926/
Inception ,2010,2h 28min,Action,8.8,"2,006,766",https://www.imdb.com/title/tt1375666/
Fight Club ,1999,2h 19min,Drama,8.8,"1,809,507",https://www.imdb.com/title/tt0137523/
Forrest Gump ,1994,2h 22min,Drama,8.8,"1,757,773",https://www.imdb.com/title/tt0109830/
Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,Action,8.7,"1,133,199",https://www.imdb.com/title/tt0080684/
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,"1,621,536",https://www.imdb.com/title/tt0120737/
The Matrix ,1999,2h 16min,Action,8.7,"1,634,275",https://www.imdb.com/title/tt0133093/
The Lord of the Rings: The Two Towers ,2002,2h 59min,Action,8.7,"1,451,248",https://www.imdb.com/title/tt0167261/
Schindler's List ,1993,3h 15min,Biography,8.9,"1,184,679",https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King ,2003,3h 21min,Action,8.9,"1,605,856",https://www.imdb.com/title/tt0167260/
"The Good, the Bad and the Ugly ",1966,2h 58min,Western,8.8,"673,189",https://www.imdb.com/title/tt0060196/
The Dark Knight ,2008,2h 32min,Action,9.0,"2,245,222",https://www.imdb.com/title/tt0468569/
12 Angry Men ,1957,1h 36min,Crime,8.9,"669,496",https://www.imdb.com/title/tt0050083/
The Godfather: Part II ,1974,3h 22min,Crime,9.0,"1,100,055",https://www.imdb.com/title/tt0071562/
The Godfather ,1972,2h 55min,Crime,9.2,"1,574,584",https://www.imdb.com/title/tt0068646/
Pulp Fiction ,1994,2h 34min,Crime,8.9,"1,782,249",https://www.imdb.com/title/tt0110912/
